Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Noor Ahmad,20000000,100000000,Capped
2,Ravichandaran Ashwin,20000000,97500000,Capped
3,Devon Conway,20000000,62500000,Capped
4,Syed Khaleel Ahmed,20000000,48000000,Capped
5,Rachin Ravindra,15000000,40000000,Capped
6,Anshul Kamboj,3000000,34000000,Uncapped
7,Rahul Tripathi,7500000,34000000,Capped
8,Sam Curran,20000000,24000000,Capped
9,Gurjapneet Singh,3000000,22000000,Uncapped
10,Nathan Ellis,12500000,20000000,Capped
11,Deepak Hooda,7500000,17000000,Capped
12,Jamie Overton,15000000,15000000,Capped
13,Vijay Shankar,3000000,12000000,Uncapped
14,Vansh Bedi,3000000,5500000,Uncapped
15,Andre Siddarth,3000000,3000000,Uncapped
16,Shreyas Gopal,3000000,3000000,Uncapped
17,Ramakrishna Ghosh,3000000,3000000,Uncapped
18,Kamlesh Nagarkoti,3000000,3000000,Uncapped
19,Mukesh Choudhary,3000000,3000000,Uncapped
20,Shaik Rasheed,3000000,3000000,Uncapped
