Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,KL Rahul,20000000,140000000,Capped
2,Mitchell Starc,20000000,117500000,Capped
3,T. Natarajan,20000000,107500000,Capped
4,Jake Fraser-Mcgurk (R),20000000,90000000,Capped
5,Mukesh Kumar (R),20000000,80000000,Capped
6,Harry Brook,20000000,62500000,Capped
7,Ashutosh Sharma,3000000,38000000,Uncapped
8,Mohit Sharma,5000000,22000000,Uncapped
9,Faf Du Plessis,20000000,20000000,Capped
10,Sameer Rizvi,3000000,9500000,Uncapped
11,Donovan Ferreira,7500000,7500000,Capped
12,Dushmantha Chameera,7500000,7500000,Capped
13,Vipraj Nigam,3000000,5000000,Uncapped
14,Karun Nair,3000000,5000000,Uncapped
15,Madhav Tiwari,3000000,4000000,Uncapped
16,Tripurana Vijay,3000000,3000000,Uncapped
17,Manvanth Kumar L,3000000,3000000,Uncapped
18,Ajay Mandal,3000000,3000000,Uncapped
19,Darshan Nalkande,3000000,3000000,Uncapped
