Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Jos Buttler,20000000,157500000,Capped
2,Mohammad Siraj,20000000,122500000,Capped
3,Kagiso Rabada,20000000,107500000,Capped
4,Prasidh Krishna,20000000,95000000,Capped
5,Washington Sundar,20000000,32000000,Capped
6,Sherfane Rutherford,15000000,26000000,Capped
7,Gerald Coetzee,12500000,24000000,Capped
8,Glenn Phillips,20000000,20000000,Capped
9,R. Sai Kishore,7500000,20000000,Capped
10,Mahipal Lomror,5000000,17000000,Uncapped
11,Gurnoor Singh Brar,3000000,13000000,Uncapped
12,Mohd. Arshad Khan,3000000,13000000,Uncapped
13,Karim Janat,7500000,7500000,Capped
14,Jayant Yadav,7500000,7500000,Capped
15,Ishant Sharma,7500000,7500000,Capped
16,Kumar Kushagra,3000000,6500000,Uncapped
17,Kulwant Khejroliya,3000000,3000000,Uncapped
18,Manav Suthar,3000000,3000000,Uncapped
19,Anuj Rawat,3000000,3000000,Uncapped
20,Nishant Sindhu,3000000,3000000,Uncapped
