Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Venkatesh Iyer,20000000,237500000,Capped
2,Anrich Nortje,20000000,65000000,Capped
3,Quinton De Kock,20000000,36000000,Capped
4,Angkrish Raghuvanshi,3000000,30000000,Uncapped
5,Spencer Johnson,20000000,28000000,Capped
6,Moeen Ali,20000000,20000000,Capped
7,Rahmanullah Gurbaz,20000000,20000000,Capped
8,Vaibhav Arora,3000000,18000000,Uncapped
9,Ajinkya Rahane,15000000,15000000,Capped
10,Rovman Powell,15000000,15000000,Capped
11,Umran Malik,7500000,7500000,Capped
12,Manish Pandey,7500000,7500000,Capped
13,Anukul Roy,3000000,4000000,Uncapped
14,Luvnith Sisodia,3000000,3000000,Uncapped
15,Mayank Markande,3000000,3000000,Uncapped
