Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Rishabh Pant,20000000,270000000,Capped
2,Avesh Khan,20000000,97500000,Capped
3,Akash Deep,10000000,80000000,Capped
4,David Miller,15000000,75000000,Capped
5,Abdul Samad,3000000,42000000,Uncapped
6,Mitchell Marsh,20000000,34000000,Capped
7,Shahbaz Ahamad,10000000,24000000,Capped
8,Aiden Markram,20000000,20000000,Capped
9,Matthew Breetzke,7500000,7500000,Capped
10,Shamar Joseph,7500000,7500000,Capped
11,M. Siddharth,3000000,7500000,Uncapped
12,Arshin Kulkarni,3000000,3000000,Uncapped
13,Rajvardhan Hangargekar,3000000,3000000,Uncapped
14,Yuvraj Chaudhary,3000000,3000000,Uncapped
15,Prince Yadav,3000000,3000000,Uncapped
16,Akash Singh,3000000,3000000,Uncapped
17,Digvesh Singh,3000000,3000000,Uncapped
18,Himmat Singh,3000000,3000000,Uncapped
19,Aryan Juyal,3000000,3000000,Uncapped
