Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Trent Boult,20000000,125000000,Capped
2,Deepak Chahar,20000000,92500000,Capped
3,Will Jacks,20000000,52500000,Capped
4,Naman Dhir,3000000,52500000,Uncapped
5,Allah Ghazanfar,7500000,48000000,Capped
6,Mitchell Santner,20000000,20000000,Capped
7,Ryan Rickelton,10000000,10000000,Capped
8,Lizaad Williams,7500000,7500000,Capped
9,Reece Topley,7500000,7500000,Capped
10,Robin Minz,3000000,6500000,Uncapped
11,Karn Sharma,5000000,5000000,Uncapped
12,Vignesh Puthur,3000000,3000000,Uncapped
13,Arjun Tendulkar,3000000,3000000,Uncapped
14,Bevan John Jacobs,3000000,3000000,Uncapped
15,Venkata Satyanarayana Penmetsa,3000000,3000000,Uncapped
16,Raj Angad Bawa,3000000,3000000,Uncapped
17,Shrijith Krishnan,3000000,3000000,Uncapped
18,Ashwani Kumar,3000000,3000000,Uncapped
