Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Shreyas Iyer,20000000,267500000,Capped
2,Yuzvendra Chahal,20000000,180000000,Capped
3,Arshdeep Singh,20000000,180000000,Capped
4,Marcus Stoinis,20000000,110000000,Capped
5,Marco Jansen,12500000,70000000,Capped
6,Nehal Wadhera,3000000,42000000,Uncapped
7,Glenn Maxwell,20000000,42000000,Capped
8,Priyansh Arya,3000000,38000000,Uncapped
9,Josh Inglis,20000000,26000000,Capped
10,Azmatullah Omarzai,15000000,24000000,Capped
11,Lockie Ferguson,20000000,20000000,Capped
12,Vyshak Vijaykumar,3000000,18000000,Uncapped
13,Yash Thakur,3000000,16000000,Uncapped
14,Harpreet Brar,3000000,15000000,Uncapped
15,Aaron Hardie,12500000,12500000,Capped
16,Vishnu Vinod,3000000,9500000,Uncapped
17,Xavier Bartlett,7500000,8000000,Capped
18,Kuldeep Sen,7500000,8000000,Capped
19,Pravin Dubey,3000000,3000000,Uncapped
20,Pyla Avinash,3000000,3000000,Uncapped
21,Suryansh Shedge,3000000,3000000,Uncapped
22,Musheer Khan,3000000,3000000,Uncapped
23,Harnoor Pannu,3000000,3000000,Uncapped
