Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Josh Hazlewood ,200000000,1250000000,Capped
2,Phil Salt ,200000000,1150000000,Capped
3,Jitesh Sharma,100000000,1100000000,Capped
4,Bhuvneshwar Kumar,200000000,1075000000,Capped
5,Liam Livingstone ,200000000,875000000,Capped
6,Rasikh Dar,30000000,600000000,Uncapped
7,Krunal Pandya,200000000,575000000,Capped
8,Tim David ,200000000,300000000,Capped
9,Jacob Bethell ,125000000,260000000,Capped
10,Suyash Sharma,30000000,260000000,Uncapped
11,Devdutt Padikkal,200000000,200000000,Capped
12,Nuwan Thushara ,75000000,160000000,Capped
13,Romario Shepherd ,150000000,150000000,Capped
14,Lungisani Ngidi ,100000000,100000000,Capped
15,Swapnil Singh,30000000,50000000,Uncapped
16,Mohit Rathee,30000000,30000000,Uncapped
17,Abhinandan Singh,30000000,30000000,Uncapped
18,Swastik Chhikara,30000000,30000000,Uncapped
19,Manoj Bhandage,30000000,30000000,Uncapped
