Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Jofra Archer,200000000,1250000000,Capped
2,Tushar Deshpande,100000000,650000000,Capped
3,Wanindu Hasaranga,200000000,525000000,Capped
4,Maheesh Theekshana,200000000,440000000,Capped
5,Nitish Rana,150000000,420000000,Capped
6,Fazalhaq Farooqi,200000000,200000000,Capped
7,Kwena Maphaka,75000000,150000000,Capped
8,Akash Madhwal,30000000,120000000,Uncapped
9,Vaibhav Suryavanshi,30000000,110000000,Uncapped
10,Shubham Dubey,30000000,80000000,Uncapped
11,Yudhvir Charak,30000000,35000000,Uncapped
12,Ashok Sharma,30000000,30000000,Uncapped
13,Kunal Rathore,30000000,30000000,Uncapped
14,Kumar Kartikeya Singh,30000000,30000000,Uncapped
