Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Ishan Kishan,200000000,1125000000,Capped
2,Mohammad Shami,200000000,1000000000,Capped
3,Harshal Patel,200000000,800000000,Capped
4,Abhinav Manohar,30000000,320000000,Uncapped
5,Rahul Chahar,100000000,320000000,Capped
6,Adam Zampa ,200000000,240000000,Capped
7,Simarjeet Singh,30000000,150000000,Uncapped
8,Eshan Malinga ,30000000,120000000,Uncapped
9,Brydon Carse ,100000000,100000000,Capped
10,Jaydev Unadkat,100000000,100000000,Capped
11,Kamindu Mendis ,75000000,75000000,Capped
12,Zeeshan Ansari,30000000,40000000,Uncapped
13,Sachin Baby,30000000,30000000,Uncapped
14,Aniket Verma,30000000,30000000,Uncapped
15,Atharva Taide,30000000,30000000,Uncapped
